fighter_id,fighter_name,background,confidence,notes
0232cabbc30a2372,Adrian Yanez,striker_boxing,medium,Wikipedia: Boxing from a young age; BJJ later
1897b7b913736a7c,Alatengheili,unclear,low,No Wikipedia page found
e4ba58725825412d,Dan Argueta,unclear,low,No Wikipedia page found
113df4fde64735c6,Davey Grant,striker_kickboxing,medium,Wikipedia: Kickboxing from 14; grappling later
aa72b0f831d0bfe5,Deiveson Figueiredo,wrestler,medium,Wikipedia: Folk wrestling from 9; capoeira later
3a314d9fa7c6825d,Douglas Silva de Andrade,unclear,low,Wikipedia names no martial art before MMA
a09ed60aa67a3f67,Farid Basharat,unclear,low,Wikipedia names no martial art before MMA
1effd880e1f1bb30,Garrett Armfield,unclear,low,No Wikipedia page found
f6bcbd91b114ff58,Johnny Munoz,unclear,low,No Wikipedia page found
c0ac37a4a1133da9,Marcus McGhee,unclear,low,Wikipedia names no martial art before MMA
bc711b6dd95c1af6,Mario Bautista,wrestler,medium,Wikipedia: Wrestling from 14 through high school; jiu-jitsu later
cc1a8b4b38b92c6d,Montel Jackson,wrestler,high,Wikipedia: HS wrestler; trained at Olympic training center
d661ce4da776fc20,Petr Yan,striker_boxing,high,Wikipedia: Master of Sport in boxing; taekwondo as a child
94527830000ab715,Rani Yahya,bjj_grappler,high,Wikipedia: BJJ from 11; ADCC champion
5987b2458f4b5290,Ricky Simon,wrestler,high,Wikipedia: Wrestling from 9; state placer
cd3d7e37ff2d679c,Ricky Turcios,unclear,low,No Wikipedia page found
d8c811df0386d5e8,Rinya Nakamura,wrestler,high,Wikipedia: U23 freestyle wrestling world champion
0fd5f4b838e890cc,Said Nurmagomedov,unclear,low,Wikipedia names no martial art before MMA
efb96bf3e9ada36f,Song Yadong,unclear,low,Wikipedia: Started directly in MMA
0e46690e55a8df75,Timmy Cuamba,unclear,low,No Wikipedia page found
37098a6e6c27fb66,Vince Morales,wrestler,high,Wikipedia: HS state wrestling champion
7aa3d6964eff4877,Alex Caceres,unclear,low,Wikipedia names no martial art before MMA
8fd808923cffff82,Andre Fili,unclear,low,Wikipedia: Started directly in MMA
040a74bb0a465c54,Arnold Allen,unclear,low,Wikipedia: Started directly in MMA
305d73ede05e31ad,Austin Lingo,striker_kickboxing,high,"Wikipedia: Boxing and TKD, then Muay Thai in Thailand"
9abc648e76c4493a,Bill Algeo,wrestler,medium,Wikipedia: All-State HS wrestler; BJJ from 18
aa171d55d4b5208f,Billy Quarantillo,bjj_grappler,low,Wikipedia: Represented Gracie Tampa; no explicit credential
751de04455cfaac0,Calvin Kattar,wrestler,medium,"Wikipedia: Standout HS wrestler, state placer"
e0c6edcb5b5d0b90,Chepe Mariscal,unclear,low,No Wikipedia page found
29af297d9f1de0f8,Damon Jackson,wrestler,high,Wikipedia: College All-American wrestler
92a9aa9c93192871,Darren Elkins,wrestler,high,Wikipedia: HS state champion; college wrestler
f166e93d04a8c274,Diego Lopes,bjj_grappler,high,Wikipedia: BJJ competitor from 7; BJJ instructor
e93b04e308913c2e,Dooho Choi,unclear,low,Wikipedia names no martial art before MMA
41cc71cbf210e0fe,Hyder Amil,unclear,low,Wikipedia: Unspecified martial arts as a child
ac026518a9b4dc0f,Jordan Leavitt,wrestler,medium,Wikipedia: HS wrestling team
7facc9c45d792985,Kaan Ofli,unclear,low,No Wikipedia page found
20bccc9bb4ceb23e,Melquizael Costa,striker_boxing,medium,Wikipedia: Boxing from 13; BJJ later
a52bc1e62cf0b7c6,Melsik Baghdasaryan,striker_kickboxing,high,"Wikipedia: Karate, then pro kickboxing/Muay Thai champion"
583ee11abddfc581,Nate Landwehr,wrestler,low,Wikipedia: Wrestled in HS among other sports
329e403448756217,Nathaniel Wood,bjj_grappler,medium,Wikipedia: BJJ from 16
b8bbdeff718dbb7d,Pat Sabatini,bjj_grappler,medium,"Wikipedia: Tang Soo Do, then BJJ black belt; wrestling and sambo later"
a68575214ecad140,SeungWoo Choi,striker_kickboxing,high,Wikipedia: Muay Thai world championships bronze
d31cbcdd7d69536d,TJ Brown,unclear,low,Wikipedia names no martial art before MMA
e1d40e8782d80bc2,William Gomis,unclear,low,No Wikipedia page found
52c2ae6d2f2d2613,Youssef Zalal,striker_kickboxing,medium,Wikipedia: Kickboxing from 10
