fighter_id,fighter_name,wiki_title,intro,background_text
0232cabbc30a2372,Adrian Yanez,Adrian Yañez,"Adrian Yañez (born November 29, 1993) is an American professional mixed martial artist who currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC).","[background] Adrian Yañez was born in Houston and grew up in La Porte, Texas. His father being a Golden Gloves winner, Yañez went into boxing from a young age, but later on took up BJJ. He started training MMA at the age of 15, having his first fight at the age of 17. Before the UFC, Yañez worked for the City of Deer Park as a Meter Reader. For most of his mixed martial arts career Yañez trained under late Saul Soliz in Houston, TX. [early career] After finishing a successful 6-0 amateur career with four consecutive TKO’s, Yañez made his professional debut at just 20 years old, and ended with Yañez victorious by TKO in the third round. Suffering his first defeat against Levi Mowles in his very next bout, having no answer for the wrestling and ground and pound, he lost via unanimous decision. The Texan recovered with two victories in Fury FC, and then won his Bellator debut at Bellator 149 against Ryan Hollis via unanimous decision. Yañez then dropped a razor thin split decision to future UFC bantamweight Domingo Pilarte at LFA 7. Winning his next two bouts in the promotion, Yañez faced another current UFC fighter Miles Johns for the vacant LFA Bantamweight Champion at LFA 55. With history repeating itself, Yañez was on the wrong end of a close split decision loss. With two stoppage wins over Warren Stewart and Michael Rodriguez and then winning a split decision against Kyle Estrada at LFA 78, Yañez was invited to Dana White's Contender Series 28, where he defeated Brady Huang in 39 seconds, earning a UFC contract in the process. [personal life] Yañez has a son (born 2021)."
1897b7b913736a7c,Alatengheili,,,
e4ba58725825412d,Dan Argueta,,,
113df4fde64735c6,Davey Grant,Davey Grant,Davey Grant (born 18 December 1985) is an English mixed martial artist. He was one of the cast members for UFC TV series The Ultimate Fighter: Team Rousey vs. Team Tate and currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC).,"[background] Grant started kickboxing training when he was 14 and picked up grappling on later date where he had his first amateur fight at the age of 15. Along with training MMA, Grant also played football and rugby during his teenage years. He decided to take it seriously when he was 21 where he decided to be a professional fighter after he won a fight just to prove to his friends he had trained in MMA.

I was watching a fight with my mates and I told them I used to do it. Nobody believed me because I’m not the kind of person that gets into fights, I just like to get along with people and have a laugh. [early career] Grant fought all of his fights primarily in the England circuit and amassed of a record of 9–1 prior to being signed by the UFC. [personal life] Grant and his wife Sherrie have two sons and a daughter. He and his family previously lived in England but they now reside in Las Vegas, Nevada, he also runs a MMA gym in Bishop Auckland."
aa72b0f831d0bfe5,Deiveson Figueiredo,Deiveson Figueiredo,"Deiveson Alcântara Figueiredo (born December 18, 1987) is a Brazilian professional mixed martial artist. He currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC). He has also competed in the Flyweight division, where he is a former two-time UFC Flyweight Champion. He is considered one of the greatest Flyweights of all time, where his Flyweight record stands at 10 wins, 3 losses, and 1 draw. As of June 20, 2026, he is #11 in the Meta UFC bantamweight rankings.","[background] Figueiredo was born in Soure, Pará, Brazil, a small city on the isle of Marajó. His father was a buffalo herder who practiced luta marajoara, a local folk wrestling style. Deiveson has a younger sister and a brother – Francisco – who also is a professional mixed martial artist who was signed with the UFC. He was a cowboy, working with his father at an animal farm until he was thirteen years old. Around the age of nine, he followed his father's footsteps and began wrestling. He moved to Belém to attend high school and started training in capoeira. He started training MMA under the tutelage of UFC Bantamweight Iuri ""Marajó"" Alcântara at the age of sixteen. [early career] Figueiredo made his professional debut in February 2012 against a fellow debutante Aluisio Ferreira. He won the fight by first-round submission. In his next six fights, Figueiredo  fought in the Pará and Maranhão MMA circuits, mostly against debuting fighters, with David Silva and Joel Silva being the notable exceptions.
In late 2014, Deiveson signed with Jungle Fight, and was scheduled to make his first appearance with the organization at Jungle Fight 75 against Rayner Silva. Figueiredo won the fight by a second-round TKO.
He was then scheduled to fight Jefte Brilhante during Revelation FC 3, but the bout was later cancelled. He was scheduled to fight Henrique Souza during Revelation FC 4, but the fight was likewise later cancelled.
Figueiredo was scheduled to fight Antônio de Miranda during Jungle Fight 87, following a seventeen-month break from the sport. He defeated de Miranda by submission mid-way through the first round. He fought again four months later, during Jungle Fight 90, against the undefeated Denis Araujo Oliveira. He defeated Araujo by a second-round TKO. [submission grappling career] Figueiredo faced Raul Rosas Jr. in a submission grappling match at Hype FC Brazil: Sao Paulo on April 8, 2026. The bout ended in a draw. [personal life] Figueiredo worked as a farmer, bricklayer,  hairdresser, taxi driver and sushi chef before competing in MMA professionally.
He is a fan of Brazilian football teams Botafogo and Paysandu.
Following a stint at Team Alpha Male, Deiveson returned to his native Brazil and founded Team Figueiredo gym in Belém."
3a314d9fa7c6825d,Douglas Silva de Andrade,Douglas Silva de Andrade,"Douglas Silva de Andrade (born June 22, 1985) is a Brazilian mixed martial artist who currently competes in Bantamweight division of the Ultimate Fighting Championship (UFC).","[background] Silva de Andrade grew up in Castanhal, Brazil. He has an older sister. He became interested in martial arts in his early teens and continued to train only with his friend long into his professional career. [early career] Silva de Andrade began his professional mixed martial arts career in 2007. He competed on the regional circuit in Pará, Brazil, notably for Super Pitbull Fight, Carmen Casca-Grossa Fight, Amazon Fight and Shooto Brazil. He amassed a record of 21–0 with 1 non-contest prior joining UFC. [personal life] Silva de Andrade and his wife Meiriane have a daughter, Eva (born 2021)."
a09ed60aa67a3f67,Farid Basharat,Farid Basharat,"Farid Basharat (Pashto: فرید بشارت; born 2 August 1997) is an Afghan-born British mixed martial artist who currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC). As of July 11, 2026, he is #9 in the Meta UFC bantamweight rankings.","[background] Farid and his older brother Javid, who is a PFL fighter, arrived in England from Afghanistan with his mother as a refugee child, where they rejoined their father. The bantamweight siblings have been in a perpetual competition with one another since their early childhood days. [early career] Basharat maintained an undefeated record fighting mostly on the English regional scene, starting out with his debut unanimous decision win over Camilo Petkoff at ""FightStar Championship 14"" in April 2018. He continued with victories via submissions, decisions, and a KO in the next 7 bouts.
Basharat was invited to compete at Dana White's Contender Series Season 6, where he faced Allan Begosso. He won the bout via unanimous decision and earned a UFC contract in the process."
1effd880e1f1bb30,Garrett Armfield,,,
f6bcbd91b114ff58,Johnny Munoz,,,
c0ac37a4a1133da9,Marcus McGhee,Marcus McGhee,"Marcus Julius McGhee (born May 7, 1990) is an American professional mixed martial artist, currently competing in the Bantamweight division of the Ultimate Fighting Championship (UFC). As of July 11, 2026, he is #10 in the Meta UFC bantamweight rankings.","[early life] McGhee was born in Detroit, Michigan, and was raised by his single mother, as his father spent most of his life in prison. [early career] As an amateur, McGhee had a 3–2 record, winning his final three fights consecutively and capturing the Iron Boy MMA Featherweight Championship. He turned pro in 2020, compiling a 6–1 record in his first seven professional fights. [personal life] McGhee currently resides in Phoenix, Arizona. He is married with four kids. [amateur record] Source:"
bc711b6dd95c1af6,Mario Bautista,Mario Bautista,"Mario Alberto Bautista (born July 1, 1993) is an American professional mixed martial artist. He currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC). As of July 11, 2026, he is #4 in the Meta UFC bantamweight rankings.","[background] Bautista was born and raised in Winnemucca, Nevada. He  started wrestling at the age of 14 and competed throughout his high school years prior to his training in jiu-jitsu. Bautista moved from Nevada to Arizona and joined MMA Lab and trained under John Crouch, where he started his professional MMA career in 2012. [early career] Bautista fought in various promotions such as Tachi Palace Fights, Combate Americas, LFA and SMASH Global in regional Arizona and California circuit and amassed a record of 6–0 prior to being signed by the UFC."
cc1a8b4b38b92c6d,Montel Jackson,Montel Jackson,"Montel Samuel Jackson (born April 24, 1992) is an American professional mixed martial artist. He currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC). As of June 20, 2026, he is #15 in the Meta UFC bantamweight rankings.","[background] Jackson started training in wrestling at high school to get away from street life as most of his friends ended up in jail or dead. With good results in wrestling, Jackson set his goal to be an Olympic wrestler; however, he chose to stay back and take care of his sick grandparents and turned down the opportunity to wrestle in college. Jackson  did an invitational wrestling match, Team USA vs. Team Japan and started training in the Olympic training center in Marquette, Michigan. During this time, one of his friends, Devondrick Bankston, was preparing for a fight against Raufeon Stots, and asked him to help on wrestling drills at Red Schafer MMA gym. At the gym, he met Gato, a Puerto Rican, who managed to talk him into competing in a Brazilian jiu-jitsu tournament without any real class instruction. Eventually, Jackson gave up his Olympic dream and transitioned to mixed martial arts. [early career] Jackson started his professional MMA career in 2017 and fought primarily on the regional circuit in the Midwest United States. He amassed a record of 6–0 before being signed by UFC."
d661ce4da776fc20,Petr Yan,Petr Yan,"Petr Evgenyevich Yan (Russian: Пётр Евге́ньевич Я́н, romanized: Pyotr Yevgenyevich Yan; born 11 February 1993) is a Russian professional mixed martial artist. He currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC), where he is the current and two-time UFC Bantamweight Champion. He is also a former interim Bantamweight Champion. Yan formerly fought in Absolute Championship Berkut where he is a former ACB Bantamweight Champion. As of 16 June 2026, he is #3 in the UFC men's pound-for-pound rankings.","[early life and master of sport in boxing] Yan was born to a father of mixed Chinese (paternal) and Georgian-Russian (maternal) descent and a Russian mother. In sixth grade, Yan began training in ITF taekwondo and often fought in the streets and at the school in his area, so his family often moved to try and prevent this. Yan's older brother trained in boxing in the city of Dudinka, Krasnoyarsk Krai, and Petr wanted to learn how to box too. But his elder brother initially refused to take Petr along with him, so Petr decided to sneak and follow his brother to go to learn the sport. From then on, Petr went on to train in boxing for 8 years and achieved the rank of Master of Sport in boxing in the 64 kg weight category. Yan graduated from the Siberian Federal University in the city of Krasnoyarsk with a degree in Physical Culture and Sport. [early career] Yan debuted in MMA at the Eurasian Fighting Championship - Baikal Fight in December 2014. He won via third-round knockout over Murad Bakiev, who was also a debutant. In 2015, Yan signed a contract with the Russian promotion Absolute Championship Berkut. He was said to have gained many fans after his debut with the promotion where he fought Brazilian fighter Renato Velame, who at the time, already had 26 fights in his MMA career. However, Yan won this fight by decision. In Yan's third fight, he fought and beat Kharon Orzumiev by first-round submission in just 47 seconds. In his following fight, Yan knocked out Artur Mirzakhanyan in the first round which was held at Professional Fight Night 10: Russia Cup. [personal life] Yan is an Orthodox Christian, he and his wife have two sons. During Russia's 2022 invasion of Ukraine, Yan posted an image on social media of the countries' flags and a dove of peace.. Yan was also awarded the Order ""For Merit to the Fatherland"" (Order II) on April 22nd, 2026."
94527830000ab715,Rani Yahya,Rani Yahya,"Rani Ahmad Yahya (born September 12, 1984) is a Syrian-Brazilian mixed martial artist and BJJ practitioner. He won the 66 kg division of the ADCC Submission Wrestling World Championship in April 2007. He fought in the Bantamweight division of the Ultimate Fighting Championship.","[background] Yahya was born to a Syrian father and Brazilian mother. He trained judo, taekwondo and karate in his childhood, finding Brazilian jiu-jitsu at the age of 11."
5987b2458f4b5290,Ricky Simon,Ricky Simón,"Ricky Simón (born August 31, 1992) is an American professional mixed martial artist who currently competes in the Bantamweight division of the Ultimate Fighting Championship (UFC). A professional since 2012, he was a former Legacy Fighting Alliance Bantamweight Champion.","[background] Simón was born in Pendleton, Oregon. Coming from a tight-knit family of Mexican immigrants, his three brothers and Ricky have the same tattoo ""Simón"" inked across their upper back. Simón also grew up with his close second cousin and fellow UFC athlete Vince Morales. Simón started training in wrestling at nine years old. He graduated class of 2010 from Union High School in Camas, WA, where he also wrestled and placed seventh in the state in his sophomore year. After his post-graduation plans to be a collegiate wrestler for Clark College did not materialize, he transitioned to mixed martial arts. [early career] Simón amassed an amateur record of 3–0 before turning professional in 2014. After compiling a professional record of 12–1, fighting for Main Event Sports, King of the Cage (KOTC), Titan Fighting Championship and he was the formal Legacy Fighting Alliance Bantamweight Champion prior joining the UFC. [professional grappling career] Simón competed alongside John Simon in a tag-team Brazilian jiu-jitsu match against Willie Audifre and Mike Currier at Submission Underground 21 on March 28, 2021. They won the match 3-0 and became the inaugural Submission Underground tag-team champions. Simón and Simon returned to defend their titles against Cris Lencioni and Owen Papworth at Submission Underground 22 on April 25, 2021, although they lost the match in EBI overtime.
Simón competed against Joao Miyao at Pit Submission Series 2 on February 23, 2024. He was submitted with a heel hook and lost the match. [personal life] Simón used to be a middle school wrestling coach. He is the cousin of fellow UFC bantamweight fighter Vince Morales.
Simón has a daughter, born in November 2022."
cd3d7e37ff2d679c,Ricky Turcios,,,
d8c811df0386d5e8,Rinya Nakamura,Rinya Nakamura,"Rinya Nakamura (Japanese: 中村倫也, Nakamura Rinya; born 23 March 1995) is a Japanese mixed martial artist and former freestyle wrestler who currently competes in the bantamweight division. Competing at 61 kilograms, Nakamura became the 2017 U23 World Champion during his wrestling career, before retiring at age 25 to pursue mixed martial arts.","[background] Rinya is the son of Kozo Nakamura, who was involved in the early development of Shooto in the 90's. Having begun wrestling at the age of five, Nakamura's first notable accomplishment in the sport of freestyle wrestling was a bronze medal from the Cadet World Championships in 2011. A multiple-time Japanese National medalist at two different weight classes, his most remarkable achievement of his career came at the 2017 U23 World Championships, where he became the champion at 61 kilograms. After the delay of the 2020 Summer Olympics due to the COVID-19 pandemic, Nakamura announced his retirement from wrestling in order to pursue a career in mixed martial arts. [early career] In April 2020, Nakamura announced his serious intentions of competing in MMA. Nakamura made his professional debut against Takumi Arai in a mixed martial arts reality show Fighting Dreamers on 15 May 2021. He won the fight via first-minute knockout.
He then made his sophomore appearance against Akuri Ronda at Shooto 0725 on 25 July 2021. He won the bout via second-round knockout.
Nakamura faced Yasuyuki Nojiri at Shooto 0116 on January 16, 2022. He won the fight via first-minute technical knockout.
On April 24, 2022, he fought against Aliandro Caetano in POUNDSTORM, and although he was punched in round 1 and cut his right eyelid leading to intense bleeding, he utilised his takedown advantage and won the 3–0 decision."
